id,nombre,zona,fecha_corte,fecha_fin,duracion_horas,duracion_horas_num,pidio_almacenar,fuente,fuente_url,confianza,lat,lon,origen_lista
el-morro,El Morro,Norte,2023-07-25,2023-07-28,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-guayaquil-cortes-de-agua-semana-24-al-27-de-julio-nota/,B,,,sectores_ejemplo
los-ceibos,Los Ceibos,Norte,2023-07-25,2023-07-28,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-guayaquil-cortes-de-agua-semana-24-al-27-de-julio-nota/,B,,,sectores_ejemplo
las-cumbres,Las Cumbres,Norte,2023-07-25,2023-07-28,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-guayaquil-cortes-de-agua-semana-24-al-27-de-julio-nota/,B,,,sectores_ejemplo
cerro-del-carmen,cerro del Carmen,Norte,2023-07-25,2023-07-28,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/interagua-guayaquil-cortes-de-agua-semana-24-al-27-de-julio-nota/,B,,,sectores_ejemplo
espol,Espol,Norte,2023-09-05,2023-09-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
28-de-abril,28 de Abril,Norte,2023-09-05,2023-09-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
puerto-azul,Puerto Azul,Norte,2023-09-05,2023-09-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
parroquia-ayacucho,parroquia Ayacucho,Norte,2023-09-05,2023-09-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
simon-bolivar,Simon Bolivar,Norte,2023-09-05,2023-09-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
inmaconsa,Inmaconsa,Norte,2023-09-05,2023-09-06,,,si,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-entre-el-5-y-6-de-septiembre-por-trabajos-de-interagua-nota/,B,,,sectores_ejemplo
mucho-lote-7,Mucho Lote 7,Norte/Centro/Sur,2023-09-11,2023-09-16,4-10,7,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-septiembre-interagua-trabajos-nota/,B,,,sectores_ejemplo
ciudad-santiago-1-8,Ciudad Santiago 1-8,Norte/Centro/Sur,2023-09-11,2023-09-16,4-10,7,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-septiembre-interagua-trabajos-nota/,B,,,sectores_ejemplo
urdesa-norte,Urdesa Norte,Norte/Centro/Sur,2023-09-11,2023-09-16,4-10,7,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-septiembre-interagua-trabajos-nota/,B,,,sectores_ejemplo
mapasingue-oeste,Mapasingue oeste,Norte/Centro/Sur,2023-09-11,2023-09-16,4-10,7,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-septiembre-interagua-trabajos-nota/,B,,,sectores_ejemplo
puerto-el-morro,Puerto El Morro,Norte/Centro/Sur,2023-09-11,2023-09-16,4-10,7,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/cortes-de-agua-en-guayaquil-septiembre-interagua-trabajos-nota/,B,,,sectores_ejemplo
ebanos,Ebanos,Norte,2023-09-19,2023-09-22,,,,El Universo,https://www.eluniverso.com/guayaquil/comunidad/samanes-y-ciudadelas-de-via-a-la-costa-tendran-cortes-de-agua-entre-el-19-y-22-de-septiembre-nota/,B,,,sectores_ejemplo
